id,ticker,name,marketCap
219,073240,금호타이어,12467
220,215600,신라젠,12446
221,363280,티와이홀딩스,12426
222,042670,현대두산인프라코어,12400
223,032500,케이엠더블유,12324
224,018670,SK가스,12322
225,166090,하나머티리얼즈,12305
226,195870,해성디에스,12257
227,031430,신세계인터내셔날,12066
228,067160,아프리카TV,11954
229,181710,NHN,11930
230,009900,명신산업,11753
231,348370,엔켐,11668
232,248070,솔루엠,11601
233,001740,SK네트웍스,11590
234,032350,롯데관광개발,11480
235,012510,더존비즈온,11454
236,003380,하림지주,11424
237,003690,코리안리,11398
238,214150,클래시스,11335
239,048410,현대바이오,11307
240,214370,케어젠,11161
241,098460,고영,11156
242,036540,SFA반도체,11133
243,395400,SK리츠,11130
244,053800,안랩,11095
245,007390,네이처셀,11024
246,185750,종근당,10993
247,014830,유니드,10978
248,215200,메가스터디교육,10912
249,298380,에이비엘바이오,10856
250,249420,일동제약,10841
251,078340,컴투스,10833
252,003240,태광산업,10811
253,079160,CJ CGV,10578
254,215000,골프존,10542
255,122870,와이지엔터테인먼트,10324
256,039130,하나투어,10314
257,089590,제주항공,10300
258,214320,이노션,10260
259,069260,TKG휴켐스,10240
260,005880,대한해운,10229
261,017390,서울가스,10200
262,268280,미원에스씨,10174
263,213420,덕산네오룩스,10155
264,005250,녹십자홀딩스,10087
265,016710,대성홀딩스,10007
266,000250,삼천당제약,9972
267,141080,레고켐바이오,9915
268,030190,NICE평가정보,9896
269,144510,지씨셀,9812
270,013890,지누스,9764
271,086450,동국제약,9736
272,006650,대한유화,9717
273,068240,다원시스,9696
274,090460,비에이치,9668
275,241590,화승엔터프라이즈,9662
276,085660,차바이오텍,9650
277,036930,주성엔지니어링,9649
278,131290,티에스이,9579
279,020000,한섬,9494
280,121600,나노신소재,9481
281,011000,진원생명과학,9476
282,082640,동양생명,9407
283,348950,제이알글로벌리츠,9406
284,272450,진에어,9396
285,161890,한국콜마,9335
286,344820,KCC글라스,9278
287,114090,GKL,9278
288,022100,포스코 ICT,9228
289,084370,유진테크,9200
290,066575,LG전자우,9177
291,009420,한올바이오파마,9168
292,023590,다우기술,9130
293,095700,제넥신,9040
294,294870,HDC현대산업개발,9029
295,067310,하나마이크론,9009
296,034120,SBS,8998
297,222080,씨아이에스,8969
298,001800,오리온홀딩스,8926
299,007700,F&F홀딩스,8898
300,200130,콜마비앤에이치,8863
301,105630,한세실업,8860
302,290650,엘앤씨바이오,8847
303,074600,원익QnC,8845
304,005690,파미셀,8843
305,006040,동원산업,8789
306,151910,SBW생명과학,8759
307,004490,세방전지,8750
308,003530,한화투자증권,8721
309,272290,이녹스첨단소재,8714
310,376300,디어유,8669
311,002840,미원상사,8598
312,036420,콘텐트리중앙,8589
313,051905,LG생활건강우,8556
314,039200,오스코텍,8488
315,103140,풍산,8407
316,086900,메디톡스,8385
317,214450,파마리서치,8382
318,003850,보령,8345
319,084990,헬릭스미스,8329
320,003540,대신증권,8276
321,100090,삼강엠앤티,8193
322,005440,현대그린푸드,8177
323,145720,덴티움,8080
324,192080,더블유게임즈,7974
325,016790,현대사료,7971
326,189300,인텔리안테크,7925
327,064550,바이오니아,7885
328,267270,현대건설기계,7880
329,267260,현대일렉트릭,7876
330,084850,아이티엠반도체,7823
331,001680,대상,7761
